interactor,degree_centrality,degree_centrality_norm,betweenness_centrality,betweenness_centrality_norm
DIP-29762N,1,0.0015600624024961,0,0
DIP-29767N,3,0.0046801872074883,24.5,0.000119442277691108
DIP-29765N,5,0.0078003120124805,72,0.000351014040561622
DIP-29766N,2,0.0031201248049922,3,1.46255850234009e-05
DIP-29775N,1,0.0015600624024961,0,0
DIP-29839N,3,0.0046801872074883,3,1.46255850234009e-05
DIP-29843N,1,0.0015600624024961,0,0
DIP-29842N,6,0.0093603744149766,15,7.31279251170047e-05
DIP-29862N,1,0.0015600624024961,0,0
DIP-29864N,1,0.0015600624024961,0,0
DIP-29866N,1,0.0015600624024961,0,0
DIP-29863N,4,0.0062402496099844,6,2.92511700468019e-05
DIP-29877N,1,0.0015600624024961,0,0
DIP-29906N,1,0.0015600624024961,0,0
DIP-29907N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-29910N,1,0.0015600624024961,0,0
DIP-29867N,1,0.0015600624024961,0,0
DIP-2863N,3,0.0046801872074883,83,0.000404641185647426
DIP-30941N,5,0.0078003120124805,193.5,0.00094335023400936
DIP-33893N,0,0,0,0
DIP-35337N,1,0.0015600624024961,0,0
DIP-37486N,6,0.0093603744149766,199.5,0.000972601404056162
DIP-30977N,2,0.0031201248049922,0.5,2.43759750390016e-06
DIP-30979N,2,0.0031201248049922,0.5,2.43759750390016e-06
DIP-41432N,3,0.0046801872074883,13,6.33775351014041e-05
DIP-33702N,3,0.0046801872074883,8,3.90015600624025e-05
DIP-41967N,0,0,0,0
DIP-32642N,2,0.0031201248049922,0.5,2.43759750390016e-06
DIP-44062N,2,0.0031201248049922,0.5,2.43759750390016e-06
DIP-5974N,1,0.0015600624024961,0,0
DIP-46027N,1,0.0015600624024961,0,0
DIP-46057N,2,0.0031201248049922,1.5,7.31279251170047e-06
DIP-46059N,2,0.0031201248049922,0.5,2.43759750390016e-06
DIP-46060N,3,0.0046801872074883,6.5,3.1688767550702e-05
DIP-46120N,1,0.0015600624024961,0,0
DIP-46161N,3,0.0046801872074883,19,9.26287051482059e-05
DIP-42731N,2,0.0031201248049922,24,0.000117004680187207
DIP-46025N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-46106N,0,0,0,0
DIP-46337N,0,0,0,0
DIP-46223N,4,0.0062402496099844,6,2.92511700468019e-05
DIP-46144N,1,0.0015600624024961,0,0
DIP-46236N,2,0.0031201248049922,2.5,1.21879875195008e-05
DIP-46241N,1,0.0015600624024961,0,0
DIP-31794N,5,0.0078003120124805,17.5,8.53159126365055e-05
DIP-46284N,0,0,0,0
DIP-46315N,1,0.0015600624024961,0,0
DIP-34427N,1,0.0015600624024961,0,0
DIP-46314N,3,0.0046801872074883,3,1.46255850234009e-05
DIP-33255N,0,0,0,0
DIP-46408N,1,0.0015600624024961,0,0
DIP-46210N,1,0.0015600624024961,0,0
DIP-41263N,2,0.0031201248049922,6,2.92511700468019e-05
DIP-40709N,0,0,0,0
DIP-46500N,3,0.0046801872074883,115,0.000560647425897036
DIP-46455N,1,0.0015600624024961,0,0
DIP-46497N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-46498N,1,0.0015600624024961,0,0
DIP-46501N,4,0.0062402496099844,277,0.00135042901716069
DIP-46502N,1,0.0015600624024961,0,0
DIP-268N,1,0.0015600624024961,0,0
DIP-35503N,5,0.0078003120124805,77.5,0.000377827613104524
DIP-42209N,1,0.0015600624024961,0,0
DIP-48329N,0,0,0,0
DIP-48395N,3,0.0046801872074883,1,4.87519500780031e-06
DIP-48406N,0,0,0,0
DIP-48411N,0,0,0,0
DIP-48423N,1,0.0015600624024961,0,0
DIP-40985N,7,0.0109204368174727,280,0.00136505460218409
DIP-674N,7,0.0109204368174727,30,0.000146255850234009
DIP-30919N,1,0.0015600624024961,0,0
DIP-48448N,1,0.0015600624024961,0,0
DIP-48425N,1,0.0015600624024961,0,0
DIP-48601N,2,0.0031201248049922,0,0
DIP-37260N,1,0.0015600624024961,0,0
DIP-48643N,2,0.0031201248049922,0,0
DIP-33404N,2,0.0031201248049922,4,1.95007800312012e-05
DIP-48600N,2,0.0031201248049922,0,0
DIP-48602N,2,0.0031201248049922,0,0
DIP-48660N,1,0.0015600624024961,0,0
DIP-48683N,1,0.0015600624024961,0,0
DIP-48689N,3,0.0046801872074883,3,1.46255850234009e-05
DIP-48721N,2,0.0031201248049922,34,0.000165756630265211
DIP-34793N,7,0.0109204368174727,46,0.000224258970358814
DIP-44897N,0,0,0,0
DIP-36927N,1,0.0015600624024961,0,0
DIP-40808N,4,0.0062402496099844,6,2.92511700468019e-05
DIP-38940N,4,0.0062402496099844,123,0.000599648985959438
DIP-30952N,8,0.0124804992199688,876.5,0.00427310842433697
DIP-28143N,1,0.0015600624024961,0,0
DIP-30929N,8,0.0124804992199688,520.5,0.00253753900156006
DIP-48796N,1,0.0015600624024961,0,0
DIP-41330N,2,0.0031201248049922,0,0
DIP-48891N,2,0.0031201248049922,0,0
DIP-48892N,2,0.0031201248049922,0,0
DIP-48902N,2,0.0031201248049922,0,0
DIP-48903N,1,0.0015600624024961,0,0
DIP-618N,2,0.0031201248049922,120,0.000585023400936037
DIP-48909N,1,0.0015600624024961,0,0
DIP-46364N,2,0.0031201248049922,0,0
DIP-48879N,2,0.0031201248049922,0,0
DIP-48941N,1,0.0015600624024961,0,0
DIP-46857N,1,0.0015600624024961,0,0
DIP-41145N,1,0.0015600624024961,0,0
DIP-31951N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-49003N,1,0.0015600624024961,0,0
DIP-49008N,0,0,0,0
DIP-30883N,1,0.0015600624024961,0,0
DIP-41816N,1,0.0015600624024961,0,0
DIP-58550N,1,0.0015600624024961,0,0
DIP-58553N,1,0.0015600624024961,0,0
DIP-39067N,1,0.0015600624024961,0,0
DIP-53073N,1,0.0015600624024961,0,0
DIP-58546N,8,0.0124804992199688,28,0.000136505460218409
DIP-46289N,1,0.0015600624024961,0,0
DIP-32990N,2,0.0031201248049922,3,1.46255850234009e-05
DIP-58986N,1,0.0015600624024961,0,0
DIP-29064N,6,0.0093603744149766,227.5,0.00110910686427457
DIP-661N,1,0.0015600624024961,0,0
DIP-29205N,8,0.0124804992199688,159.75,0.0007788124024961
DIP-38195N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-40850N,1,0.0015600624024961,0,0
DIP-1073N,3,0.0046801872074883,5,2.43759750390016e-05
DIP-59090N,13,0.0202808112324493,78,0.000380265210608424
DIP-59092N,1,0.0015600624024961,0,0
DIP-50368N,1,0.0015600624024961,0,0
