interactor,degree_centrality,degree_centrality_norm,betweenness_centrality,betweenness_centrality_norm
DIP-60850N,1,0.0015600624024961,0,0
DIP-60874N,1,0.0015600624024961,0,0
DIP-31532N,1,0.0015600624024961,0,0
DIP-55974N,1,0.0015600624024961,0,0
DIP-44866N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-36948N,1,0.0015600624024961,0,0
DIP-5740N,1,0.0015600624024961,0,0
DIP-44935N,1,0.0015600624024961,0,0
DIP-36536N,1,0.0015600624024961,0,0
DIP-60962N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-60964N,1,0.0015600624024961,0,0
DIP-29066N,4,0.0062402496099844,37.9166666666667,0.000184851144045762
DIP-46229N,1,0.0015600624024961,0,0
DIP-29206N,1,0.0015600624024961,0,0
DIP-60985N,3,0.0046801872074883,2.5,1.21879875195008e-05
DIP-44909N,4,0.0062402496099844,7.5,3.65639625585023e-05
DIP-60983N,3,0.0046801872074883,5.66666666666667,2.76261050442018e-05
DIP-60988N,2,0.0031201248049922,0.666666666666667,3.25013000520021e-06
DIP-60987N,2,0.0031201248049922,0.666666666666667,3.25013000520021e-06
DIP-1136N,1,0.0015600624024961,0,0
DIP-61095N,1,0.0015600624024961,0,0
DIP-61121N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-35686N,1,0.0015600624024961,0,0
DIP-40738N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-33272N,1,0.0015600624024961,0,0
DIP-57661N,1,0.0015600624024961,0,0
DIP-61146N,1,0.0015600624024961,0,0
DIP-36887N,1,0.0015600624024961,0,0
DIP-41029N,1,0.0015600624024961,0,0
DIP-61308N,1,0.0015600624024961,0,0
DIP-61263N,1,0.0015600624024961,0,0
DIP-61264N,1,0.0015600624024961,0,0
DIP-61290N,1,0.0015600624024961,0,0
DIP-61213N,1,0.0015600624024961,0,0
DIP-61212N,2,0.0031201248049922,1,4.87519500780031e-06
DIP-2262N,1,0.0015600624024961,0,0
DIP-5979N,1,0.0015600624024961,0,0
DIP-33878N,1,0.0015600624024961,0,0
DIP-61326N,1,0.0015600624024961,0,0
DIP-61327N,1,0.0015600624024961,0,0
DIP-44817N,0,0,0,0
DIP-29452N,1,0.0015600624024961,0,0
DIP-61522N,0,0,0,0
DIP-41937N,0,0,0,0
DIP-41143N,0,0,0,0
DIP-37175N,2,0.0031201248049922,0,0
DIP-61629N,1,0.0015600624024961,0,0
DIP-33098N,3,0.0046801872074883,58,0.000282761310452418
DIP-61632N,3,0.0046801872074883,3,1.46255850234009e-05
DIP-31950N,1,0.0015600624024961,0,0
